"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2025","jif_quartile","jci_2025","percent_citable_oa"
"CELLULAR AND MOLECULAR NEUROBIOLOGY","0272-4340","1573-6830","('CELL BIOLOGY', 'NEUROSCIENCES')","('SCIE', 'SCIE')","8,134","7.4","('Q1', 'Q1')","0.78","69.45"
"Polish Heart Journal-Kardiologia Polska","0022-9032","1897-4279","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","3,542","7.4","Q1","0.64","94.81"
"ACTA MATHEMATICA","0001-5962","1871-2509","MATHEMATICS","('SCIE',)","6,029","7.3","Q1","5.26","87.50"
"IEEE Transactions on Network Science and Engineering","2327-4697","2327-4697","('ENGINEERING, MULTIDISCIPLINARY', 'MATHEMATICS, INTERDISCIPLINARY APPLICATIONS')","('SCIE', 'SCIE')","12,693","7.3","('Q1', 'Q1')","2.33","2.35"
"International Journal of Advertising","0265-0487","1759-3948","('BUSINESS', 'COMMUNICATION')","('SSCI', 'SSCI')","6,142","7.3","('Q1', 'Q1')","1.97","9.57"
"JOURNAL OF ENVIRONMENTAL PSYCHOLOGY","0272-4944","1522-9610","('ENVIRONMENTAL STUDIES', 'PSYCHOLOGY, MULTIDISCIPLINARY')","('SSCI', 'SSCI')","25,768","7.3","('Q1', 'Q1')","1.97","54.05"
"World Journal of Pediatrics","1708-8569","1867-0687","PEDIATRICS","('SCIE',)","3,496","7.3","Q1","1.87","52.14"
"POSTHARVEST BIOLOGY AND TECHNOLOGY","0925-5214","1873-2356","('AGRONOMY', 'FOOD SCIENCE & TECHNOLOGY', 'HORTICULTURE')","('SCIE', 'SCIE', 'SCIE')","29,724","7.3","('Q1', 'Q1', 'Q1')","1.83","15.43"
"BRIEFINGS IN BIOINFORMATICS","1467-5463","1477-4054","('BIOCHEMICAL RESEARCH METHODS', 'MATHEMATICAL & COMPUTATIONAL BIOLOGY')","('SCIE', 'SCIE')","33,255","7.3","('Q1', 'Q1')","1.79","81.95"
"JOURNAL OF MEDICINAL CHEMISTRY","0022-2623","1520-4804","CHEMISTRY, MEDICINAL","('SCIE',)","100,697","7.3","Q1","1.77","19.31"
"METABOLIC ENGINEERING","1096-7176","1096-7184","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","('SCIE',)","13,071","7.3","Q1","1.71","34.16"
"ANALYTICAL CHEMISTRY","0003-2700","1520-6882","CHEMISTRY, ANALYTICAL","('SCIE',)","170,236","7.3","Q1","1.70","15.28"
"Food Science and Human Wellness","","2213-4530","('FOOD SCIENCE & TECHNOLOGY', 'NUTRITION & DIETETICS')","('SCIE', 'SCIE')","7,986","7.3","('Q1', 'Q1')","1.70","99.89"
"INDUSTRIAL MARKETING MANAGEMENT","0019-8501","1873-2062","('BUSINESS', 'MANAGEMENT')","('SSCI', 'SSCI')","18,638","7.3","('Q1', 'Q1')","1.51","55.61"
"Environmental Health","","1476-069X","('ENVIRONMENTAL SCIENCES', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH')","('SCIE', 'SCIE')","9,905","7.3","('Q1', 'Q1')","1.48","100.00"
"Journal of Hydrology","0022-1694","1879-2707","('ENGINEERING, CIVIL', 'GEOSCIENCES, MULTIDISCIPLINARY', 'WATER RESOURCES')","('SCIE', 'SCIE', 'SCIE')","116,146","7.3","('Q1', 'Q1', 'Q1')","1.46","19.92"
"MIS QUARTERLY","0276-7783","","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'INFORMATION SCIENCE & LIBRARY SCIENCE', 'MANAGEMENT')","('SCIE', 'SSCI', 'SSCI')","34,974","7.3","('Q1', 'Q1', 'Q1')","1.46","20.51"
"Limnology and Oceanography Letters","","2378-2242","('LIMNOLOGY', 'OCEANOGRAPHY')","('SCIE', 'SCIE')","2,622","7.3","('Q1', 'Q1')","1.41","100.00"
"Environmental Technology & Innovation","2352-1864","2352-1864","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY', 'ENGINEERING, ENVIRONMENTAL', 'ENVIRONMENTAL SCIENCES')","('SCIE', 'SCIE', 'SCIE')","22,886","7.3","('Q1', 'Q1', 'Q1')","1.29","99.94"
"Journal of Materials Research and Technology-JMR&T","2238-7854","2214-0697","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'METALLURGY & METALLURGICAL ENGINEERING')","('SCIE', 'SCIE')","93,915","7.3","('Q1', 'Q1')","1.28","100.00"
"Experimental and Computational Multiphase Flow","2661-8869","2661-8877","('MECHANICS', 'THERMODYNAMICS')","('ESCI', 'ESCI')","841","7.3","('Q1', 'Q1')","1.23","25.26"
"Frontiers of Computer Science","2095-2228","2095-2236","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'COMPUTER SCIENCE, SOFTWARE ENGINEERING', 'COMPUTER SCIENCE, THEORY & METHODS')","('SCIE', 'SCIE', 'SCIE')","3,694","7.3","('Q1', 'Q1', 'Q1')","1.20","12.38"
"Acupuncture and Herbal Medicine","2097-0226","2765-8619","INTEGRATIVE & COMPLEMENTARY MEDICINE","('ESCI',)","745","7.3","Q1","1.19","100.00"
"CLINICAL SCIENCE","0143-5221","1470-8736","MEDICINE, RESEARCH & EXPERIMENTAL","('SCIE',)","13,268","7.3","Q1","1.19","86.91"
"Computers & Industrial Engineering","0360-8352","1879-0550","('COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS', 'ENGINEERING, INDUSTRIAL')","('SCIE', 'SCIE')","43,552","7.3","('Q1', 'Q1')","1.19","15.73"
"Journal of Environmental Informatics","1726-2135","1684-8799","ENVIRONMENTAL SCIENCES","('SCIE',)","790","7.3","Q1","1.19","1.47"
"INTERNATIONAL JOURNAL OF COAL GEOLOGY","0166-5162","1872-7840","('ENERGY & FUELS', 'GEOSCIENCES, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","17,709","7.3","('Q2', 'Q1')","1.18","30.87"
"Environmental Science & Technology Letters","2328-8930","","('ENGINEERING, ENVIRONMENTAL', 'ENVIRONMENTAL SCIENCES')","('SCIE', 'SCIE')","12,733","7.3","('Q1', 'Q1')","1.17","31.47"
"Waste Management","0956-053X","1879-2456","('ENGINEERING, ENVIRONMENTAL', 'ENVIRONMENTAL SCIENCES')","('SCIE', 'SCIE')","55,989","7.3","('Q1', 'Q1')","1.07","31.54"
"INTERNATIONAL JOURNAL OF ONCOLOGY","1019-6439","1791-2423","ONCOLOGY","('SCIE',)","16,556","7.3","Q1","1.03","90.75"
"Cleaner Engineering and Technology","2666-7908","2666-7908","('ENGINEERING, ENVIRONMENTAL', 'ENVIRONMENTAL SCIENCES', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('ESCI', 'ESCI', 'ESCI')","6,836","7.3","('Q1', 'Q1', 'Q2')","0.95","100.00"
"Expert Opinion on Drug Discovery","1746-0441","1746-045X","PHARMACOLOGY & PHARMACY","('SCIE',)","7,648","7.3","Q1","0.87","7.09"
"CURRENT OPINION IN PLANT BIOLOGY","1369-5266","1879-0356","PLANT SCIENCES","('SCIE',)","18,874","7.3","Q1","0.74","50.32"
"SEPARATION AND PURIFICATION REVIEWS","1542-2119","1542-2127","('CHEMISTRY, ANALYTICAL', 'CHEMISTRY, APPLIED', 'ENGINEERING, CHEMICAL')","('SCIE', 'SCIE', 'SCIE')","1,853","7.3","('Q1', 'Q1', 'Q1')","0.70","2.82"
"Education and Information Technologies","1360-2357","1573-7608","EDUCATION & EDUCATIONAL RESEARCH","('SSCI',)","26,574","7.2","Q1","2.71","27.46"
"RELC Journal","0033-6882","1745-526X","LINGUISTICS","('SSCI',)","2,877","7.2","Q1","2.44","18.30"
"International Journal of Qualitative Methods","1609-4069","1609-4069","SOCIAL SCIENCES, INTERDISCIPLINARY","('SSCI',)","16,782","7.2","Q1","2.37","100.00"
"Review of Finance","1572-3097","1573-692X","('BUSINESS, FINANCE', 'ECONOMICS')","('SSCI', 'SSCI')","5,699","7.2","('Q1', 'Q1')","2.35","24.86"
"GENOMICS PROTEOMICS & BIOINFORMATICS","1672-0229","2210-3244","GENETICS & HEREDITY","('SCIE',)","7,402","7.2","Q1","2.09","100.00"
"Science China-Physics Mechanics & Astronomy","1674-7348","1869-1927","PHYSICS, MULTIDISCIPLINARY","('SCIE',)","8,936","7.2","Q1","1.87","2.91"
"JACC-Clinical Electrophysiology","2405-500X","2405-5018","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","8,478","7.2","Q1","1.84","23.08"
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","0742-1222","1557-928X","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'INFORMATION SCIENCE & LIBRARY SCIENCE', 'MANAGEMENT')","('SCIE', 'SSCI', 'SSCI')","9,506","7.2","('Q1', 'Q1', 'Q1')","1.71","10.66"
"Circulation-Cardiovascular Interventions","1941-7640","1941-7632","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","7,948","7.2","Q1","1.69","18.39"
"TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE","0965-8564","1879-2375","('ECONOMICS', 'TRANSPORTATION', 'TRANSPORTATION SCIENCE & TECHNOLOGY')","('SSCI', 'SSCI', 'SCIE')","27,903","7.2","('Q1', 'Q1', 'Q1')","1.68","46.33"
"RESPIROLOGY","1323-7799","1440-1843","RESPIRATORY SYSTEM","('SCIE',)","8,802","7.2","Q1","1.65","61.70"
"Scientific Data","","2052-4463","MULTIDISCIPLINARY SCIENCES","('SCIE',)","55,822","7.2","Q1","1.62","99.95"
"Fluids and Barriers of the CNS","2045-8118","2045-8118","NEUROSCIENCES","('SCIE',)","5,562","7.2","Q1","1.61","100.00"
"Weather and Climate Extremes","2212-0947","2212-0947","METEOROLOGY & ATMOSPHERIC SCIENCES","('SCIE',)","6,159","7.2","Q1","1.53","100.00"
"Journal of Allergy and Clinical Immunology-In Practice","2213-2198","2213-2201","('ALLERGY', 'IMMUNOLOGY')","('SCIE', 'SCIE')","18,872","7.2","('Q1', 'Q1')","1.44","21.64"
"npj Vaccines","","2059-0105","('IMMUNOLOGY', 'MEDICINE, RESEARCH & EXPERIMENTAL')","('SCIE', 'SCIE')","6,659","7.2","('Q1', 'Q1')","1.44","100.00"
"Journal of Agriculture and Food Research","2666-1543","2666-1543","('AGRICULTURE, MULTIDISCIPLINARY', 'FOOD SCIENCE & TECHNOLOGY')","('ESCI', 'ESCI')","13,007","7.2","('Q1', 'Q1')","1.43","99.95"
"NEURAL NETWORKS","0893-6080","1879-2782","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE', 'NEUROSCIENCES')","('SCIE', 'SCIE')","37,463","7.2","('Q1', 'Q1')","1.42","13.28"
"Advanced Optical Materials","2195-1071","2195-1071","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'OPTICS')","('SCIE', 'SCIE')","52,269","7.2","('Q1', 'Q1')","1.41","23.72"
"Digital Business","","2666-9544","('BUSINESS', 'MANAGEMENT')","('ESCI', 'ESCI')","823","7.2","('Q1', 'Q1')","1.41","100.00"
"Internet Research","1066-2243","1066-2243","('BUSINESS', 'COMPUTER SCIENCE, INFORMATION SYSTEMS', 'TELECOMMUNICATIONS')","('SSCI', 'SCIE', 'SCIE')","8,130","7.2","('Q1', 'Q1', 'Q1')","1.32","7.72"
"WEAR","0043-1648","1873-2577","('ENGINEERING, MECHANICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","45,050","7.2","('Q1', 'Q1')","1.32","21.53"
"Energy Research & Social Science","2214-6296","2214-6326","('ENVIRONMENTAL STUDIES', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('SSCI', 'SSCI')","27,068","7.2","('Q1', 'Q2')","1.30","68.60"
"ENVIRONMENTAL POLLUTION","0269-7491","1873-6424","ENVIRONMENTAL SCIENCES","('SCIE',)","149,724","7.2","Q1","1.29","19.27"
"Radiology-Imaging Cancer","2638-616X","2638-616X","('ONCOLOGY', 'RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING')","('ESCI', 'ESCI')","1,036","7.2","('Q1', 'Q1')","1.26","100.00"
"BLOOD REVIEWS","0268-960X","1532-1681","HEMATOLOGY","('SCIE',)","5,759","7.2","Q1","1.04","31.25"
"Current Molecular Pharmacology","1874-4672","1874-4702","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'PHARMACOLOGY & PHARMACY')","('SCIE', 'SCIE')","2,562","7.2","('Q1', 'Q1')","0.97","58.16"
"CURRENT OPINION IN CHEMICAL BIOLOGY","1367-5931","1879-0402","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'BIOPHYSICS')","('SCIE', 'SCIE')","11,193","7.2","('Q1', 'Q1')","0.88","34.08"
"BioDesign Research","2693-1257","2693-1257","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","('ESCI',)","578","7.2","Q1","0.85","100.00"
"Current Diabetes Reports","1534-4827","1539-0829","ENDOCRINOLOGY & METABOLISM","('SCIE',)","7,301","7.2","Q1","0.82","38.05"
"NEW CARBON MATERIALS","2097-1605","1872-5805","MATERIALS SCIENCE, MULTIDISCIPLINARY","('SCIE',)","3,807","7.2","Q1","0.72","10.00"
"Macromol","","2673-6209","POLYMER SCIENCE","('ESCI',)","1,082","7.2","Q1","0.61","100.00"
"Progress in Energy","","2516-1083","ENERGY & FUELS","('ESCI',)","1,463","7.2","Q2","0.51","68.75"
"MIT Technology Review","1099-274X","","MULTIDISCIPLINARY SCIENCES","('SCIE',)","1,198","7.2","Q1","0.02","0.00"
"Journal of Legal Analysis","2161-7201","1946-5319","LAW","('SSCI',)","527","7.1","Q1","6.80","96.30"
"EDUCATIONAL TECHNOLOGY & SOCIETY","1176-3647","1436-4522","EDUCATION & EDUCATIONAL RESEARCH","('SSCI',)","5,187","7.1","Q1","2.89","0.00"
"COMMUNICATIONS OF THE ACM","0001-0782","1557-7317","('COMPUTER SCIENCE, HARDWARE & ARCHITECTURE', 'COMPUTER SCIENCE, SOFTWARE ENGINEERING', 'COMPUTER SCIENCE, THEORY & METHODS')","('SCIE', 'SCIE', 'SCIE')","35,890","7.1","('Q1', 'Q1', 'Q1')","2.69","33.62"
"Annual Review of Criminology","2572-4568","2572-4568","CRIMINOLOGY & PENOLOGY","('SSCI',)","1,615","7.1","Q1","2.60","100.00"
"Horticultural Plant Journal","2095-9885","2468-0141","('HORTICULTURE', 'PLANT SCIENCES')","('SCIE', 'SCIE')","3,835","7.1","('Q1', 'Q1')","2.09","100.00"
"Photonics Research","2327-9125","2327-9125","OPTICS","('SCIE',)","14,654","7.1","Q1","1.93","0.11"
"Finance Research Letters","1544-6123","1544-6131","BUSINESS, FINANCE","('SSCI',)","41,239","7.1","Q1","1.82","12.94"
"Journal of Hospitality & Tourism Research","1096-3480","1557-7554","HOSPITALITY, LEISURE, SPORT & TOURISM","('SSCI',)","5,074","7.1","Q1","1.63","7.94"
"ROCK MECHANICS AND ROCK ENGINEERING","0723-2632","1434-453X","('ENGINEERING, GEOLOGICAL', 'GEOSCIENCES, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","37,079","7.1","('Q1', 'Q1')","1.58","13.65"
"AMERICAN JOURNAL OF CLINICAL NUTRITION","0002-9165","1938-3207","NUTRITION & DIETETICS","('SCIE',)","55,209","7.1","Q1","1.55","43.73"
"IEEE TRANSACTIONS ON POWER ELECTRONICS","0885-8993","1941-0107","ENGINEERING, ELECTRICAL & ELECTRONIC","('SCIE',)","93,639","7.1","Q1","1.53","2.75"
"International Journal of Behavioral Nutrition and Physical Activity","","1479-5868","('NUTRITION & DIETETICS', 'PHYSIOLOGY')","('SCIE', 'SCIE')","18,657","7.1","('Q1', 'Q1')","1.52","100.00"
"COMPUTERS AND GEOTECHNICS","0266-352X","1873-7633","('COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS', 'ENGINEERING, GEOLOGICAL', 'GEOSCIENCES, MULTIDISCIPLINARY')","('SCIE', 'SCIE', 'SCIE')","36,532","7.1","('Q1', 'Q1', 'Q1')","1.51","17.96"
"Smart Agricultural Technology","","2772-3755","('AGRICULTURAL ENGINEERING', 'AGRICULTURE, MULTIDISCIPLINARY', 'AGRONOMY')","('ESCI', 'ESCI', 'ESCI')","6,600","7.1","('Q1', 'Q1', 'Q1')","1.51","100.00"
"ATHEROSCLEROSIS","0021-9150","1879-1484","('CARDIAC & CARDIOVASCULAR SYSTEMS', 'PERIPHERAL VASCULAR DISEASE')","('SCIE', 'SCIE')","25,027","7.1","('Q1', 'Q1')","1.50","41.17"
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","1067-5027","1527-974X","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS', 'HEALTH CARE SCIENCES & SERVICES', 'INFORMATION SCIENCE & LIBRARY SCIENCE', 'MEDICAL INFORMATICS')","('SCIE', 'SCIE', 'SCIE', 'SSCI', 'SCIE')","18,887","7.1","('Q1', 'Q1', 'Q1', 'Q1', 'Q1')","1.48","38.63"
"Journal of Product and Brand Management","1061-0421","2054-1643","('BUSINESS', 'MANAGEMENT')","('SSCI', 'SSCI')","6,255","7.1","('Q1', 'Q1')","1.36","7.79"
"LWT-FOOD SCIENCE AND TECHNOLOGY","0023-6438","1096-1127","FOOD SCIENCE & TECHNOLOGY","('SCIE',)","98,569","7.1","Q1","1.34","100.00"
"Internet of Things","2543-1536","2542-6605","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'ENGINEERING, ELECTRICAL & ELECTRONIC', 'TELECOMMUNICATIONS')","('SCIE', 'SCIE', 'SCIE')","9,292","7.1","('Q1', 'Q1', 'Q1')","1.31","37.00"
"Food Structure-Netherlands","2213-3291","2213-3291","FOOD SCIENCE & TECHNOLOGY","('SCIE',)","2,010","7.1","Q1","1.15","27.52"
"ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY","1081-1206","1534-4436","('ALLERGY', 'IMMUNOLOGY')","('SCIE', 'SCIE')","11,542","7.1","('Q1', 'Q1')","1.14","21.11"
"Science of Remote Sensing","2666-0172","2666-0172","('ENVIRONMENTAL SCIENCES', 'IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY', 'REMOTE SENSING')","('ESCI', 'ESCI', 'ESCI')","1,743","7.1","('Q1', 'Q1', 'Q1')","1.13","100.00"
"Digital Discovery","","2635-098X","('CHEMISTRY, MULTIDISCIPLINARY', 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS')","('ESCI', 'ESCI')","3,710","7.1","('Q1', 'Q1')","1.09","100.00"
"Environmental Sciences Europe","2190-4707","2190-4715","ENVIRONMENTAL SCIENCES","('SCIE',)","7,804","7.1","Q1","1.03","99.82"
"CHEMISTRY OF MATERIALS","0897-4756","1520-5002","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","112,198","7.1","('Q2', 'Q1')","1.01","24.70"
"Journal of Industrial and Engineering Chemistry","1226-086X","1876-794X","('CHEMISTRY, MULTIDISCIPLINARY', 'ENGINEERING, CHEMICAL')","('SCIE', 'SCIE')","34,065","7.1","('Q1', 'Q1')","0.92","9.69"
"Frontiers of Environmental Science & Engineering","2095-2201","2095-221X","('ENGINEERING, ENVIRONMENTAL', 'ENVIRONMENTAL SCIENCES')","('SCIE', 'SCIE')","6,031","7.1","('Q2', 'Q1')","0.84","12.00"
"PROCEEDINGS OF THE NUTRITION SOCIETY","0029-6651","1475-2719","NUTRITION & DIETETICS","('SCIE',)","8,428","7.1","Q1","0.83","86.16"
"RUSSIAN CHEMICAL REVIEWS","0036-021X","1468-4837","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","4,508","7.1","Q1","0.45","5.04"
"JAMA Otolaryngology-Head & Neck Surgery","2168-6181","2168-619X","('OTORHINOLARYNGOLOGY', 'SURGERY')","('SCIE', 'SCIE')","8,391","7.0","('Q1', 'Q1')","2.94","7.31"
"PROGRESS IN HUMAN GEOGRAPHY","0309-1325","1477-0288","GEOGRAPHY","('SSCI',)","11,301","7.0","Q1","2.36","68.94"
"Clinical Journal of the American Society of Nephrology","1555-9041","1555-905X","UROLOGY & NEPHROLOGY","('SCIE',)","22,103","7.0","Q1","2.22","18.14"
"JOURNAL OF INVESTIGATIVE DERMATOLOGY","0022-202X","1523-1747","DERMATOLOGY","('SCIE',)","34,529","7.0","Q1","2.18","28.79"
"Asia-Pacific Journal of Ophthalmology","","2162-0989","OPHTHALMOLOGY","('SCIE',)","3,070","7.0","Q1","2.12","100.00"
"JOURNAL OF VOCATIONAL BEHAVIOR","0001-8791","1095-9084","PSYCHOLOGY, APPLIED","('SSCI',)","18,573","7.0","Q1","1.98","42.77"
"INFORMATION & MANAGEMENT","0378-7206","1872-7530","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'INFORMATION SCIENCE & LIBRARY SCIENCE', 'MANAGEMENT')","('SCIE', 'SSCI', 'SSCI')","15,241","7.0","('Q1', 'Q1', 'Q1')","1.95","22.25"
"Emerging Microbes & Infections","","2222-1751","('IMMUNOLOGY', 'INFECTIOUS DISEASES', 'MICROBIOLOGY')","('SCIE', 'SCIE', 'SCIE')","11,908","7.0","('Q1', 'Q1', 'Q1')","1.93","100.00"
"CITIES","0264-2751","1873-6084","URBAN STUDIES","('SSCI',)","33,276","7.0","Q1","1.81","41.24"
"BEST PRACTICE & RESEARCH IN CLINICAL RHEUMATOLOGY","1521-6942","1532-1770","RHEUMATOLOGY","('SCIE',)","5,560","7.0","Q1","1.78","28.29"
"CNS DRUGS","1172-7047","1179-1934","('CLINICAL NEUROLOGY', 'PHARMACOLOGY & PHARMACY', 'PSYCHIATRY')","('SCIE', 'SCIE', 'SCIE')","7,910","7.0","('Q1', 'Q1', 'Q1')","1.64","55.83"
"Communications Engineering","","2731-3395","ENGINEERING, MULTIDISCIPLINARY","('ESCI',)","2,445","7.0","Q1","1.59","100.00"
"IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS","0018-9251","1557-9603","('ENGINEERING, AEROSPACE', 'ENGINEERING, ELECTRICAL & ELECTRONIC', 'TELECOMMUNICATIONS')","('SCIE', 'SCIE', 'SCIE')","32,926","7.0","('Q1', 'Q1', 'Q1')","1.57","3.23"
"IEEE TRANSACTIONS ON AUTOMATIC CONTROL","0018-9286","1558-2523","('AUTOMATION & CONTROL SYSTEMS', 'ENGINEERING, ELECTRICAL & ELECTRONIC')","('SCIE', 'SCIE')","70,715","7.0","('Q1', 'Q1')","1.57","5.57"
"IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT","0018-9456","1557-9662","('ENGINEERING, ELECTRICAL & ELECTRONIC', 'INSTRUMENTS & INSTRUMENTATION')","('SCIE', 'SCIE')","85,213","7.0","('Q1', 'Q1')","1.53","3.33"
"HEART RHYTHM","1547-5271","1556-3871","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","16,881","7.0","Q1","1.51","23.06"
"Fundamental Research","2096-9457","2667-3258","MULTIDISCIPLINARY SCIENCES","('ESCI',)","4,481","7.0","Q1","1.49","100.00"
"Organization Theory","","2631-7877","MANAGEMENT","('ESCI',)","1,464","7.0","Q1","1.49","100.00"
"Engineering Failure Analysis","1350-6307","1873-1961","('ENGINEERING, MECHANICAL', 'MATERIALS SCIENCE, CHARACTERIZATION & TESTING')","('SCIE', 'SCIE')","38,812","7.0","('Q1', 'Q1')","1.47","11.36"
"HYDROLOGY AND EARTH SYSTEM SCIENCES","1027-5606","1607-7938","('GEOSCIENCES, MULTIDISCIPLINARY', 'WATER RESOURCES')","('SCIE', 'SCIE')","33,043","7.0","('Q1', 'Q1')","1.41","100.00"
"npj Regenerative Medicine","","2057-3995","('CELL & TISSUE ENGINEERING', 'ENGINEERING, BIOMEDICAL')","('SCIE', 'SCIE')","3,206","7.0","('Q1', 'Q1')","1.37","100.00"
"SLEEP","0161-8105","1550-9109","('CLINICAL NEUROLOGY', 'NEUROSCIENCES')","('SCIE', 'SCIE')","31,454","7.0","('Q1', 'Q1')","1.37","35.09"
"International Journal of Fatigue","0142-1123","1879-3452","('ENGINEERING, MECHANICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","36,921","7.0","('Q1', 'Q2')","1.36","22.17"
"PEDOSPHERE","1002-0160","2210-5107","SOIL SCIENCE","('SCIE',)","6,451","7.0","Q1","1.36","4.00"
"EPMA Journal","1878-5077","1878-5085","MEDICINE, RESEARCH & EXPERIMENTAL","('SCIE',)","2,288","7.0","Q1","1.35","36.89"
"EUROPEAN JOURNAL OF OPERATIONAL RESEARCH","0377-2217","1872-6860","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","('SCIE',)","67,071","7.0","Q1","1.31","41.60"
"FOOD CONTROL","0956-7135","1873-7129","FOOD SCIENCE & TECHNOLOGY","('SCIE',)","44,955","7.0","Q1","1.28","22.35"
"ACM Transactions on Human-Robot Interaction","","2573-9522","ROBOTICS","('ESCI',)","2,033","7.0","Q1","1.26","55.32"
"Science Signaling","1945-0877","1937-9145","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY')","('SCIE', 'SCIE')","14,775","7.0","('Q1', 'Q1')","1.23","3.48"
"Water Research X","","2589-9147","('ENGINEERING, ENVIRONMENTAL', 'ENVIRONMENTAL SCIENCES', 'WATER RESOURCES')","('SCIE', 'SCIE', 'SCIE')","2,121","7.0","('Q2', 'Q1', 'Q1')","1.20","100.00"
"BIOMASS & BIOENERGY","0961-9534","1873-2909","('AGRICULTURAL ENGINEERING', 'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', 'ENERGY & FUELS')","('SCIE', 'SCIE', 'SCIE')","26,239","7.0","('Q1', 'Q1', 'Q2')","1.18","24.39"
"Cancer Cell International","","1475-2867","ONCOLOGY","('SCIE',)","18,851","7.0","Q1","1.16","100.00"
"Applied Materials Today","2352-9407","2352-9407","MATERIALS SCIENCE, MULTIDISCIPLINARY","('SCIE',)","18,747","7.0","Q2","1.15","21.09"
"Journal of Consumer Behaviour","1472-0817","1479-1838","BUSINESS","('SSCI',)","6,775","7.0","Q1","1.08","31.35"
"Frontiers in Immunology","1664-3224","1664-3224","IMMUNOLOGY","('SCIE',)","284,485","7.0","Q1","1.06","99.90"
"ISPRS Open Journal of Photogrammetry and Remote Sensing","","2667-3932","('GEOGRAPHY, PHYSICAL', 'IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY', 'REMOTE SENSING')","('ESCI', 'ESCI', 'ESCI')","512","7.0","('Q1', 'Q1', 'Q1')","1.06","100.00"
"Carbon Balance and Management","1750-0680","1750-0680","ENVIRONMENTAL SCIENCES","('SCIE',)","1,776","7.0","Q1","1.03","100.00"
"FRONTIERS IN NEUROENDOCRINOLOGY","0091-3022","1095-6808","('ENDOCRINOLOGY & METABOLISM', 'NEUROSCIENCES')","('SCIE', 'SCIE')","6,208","7.0","('Q1', 'Q1')","0.95","46.67"
"Green Synthesis and Catalysis","","2666-5549","CHEMISTRY, MULTIDISCIPLINARY","('ESCI',)","1,747","7.0","Q1","0.91","100.00"
"Small Science","2688-4046","2688-4046","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('ESCI', 'ESCI')","5,034","7.0","('Q2', 'Q2')","0.88","99.85"
"Composites Part C: Open Access","2666-6820","2666-6820","MATERIALS SCIENCE, COMPOSITES","('ESCI',)","3,904","7.0","Q2","0.86","100.00"
"Environmental Evidence","","2047-2382","ENVIRONMENTAL SCIENCES","('SCIE',)","2,164","7.0","Q1","0.80","100.00"
