"journal_name","issn","e_issn","category","total_citations","impact_factor_2022","jif_quartile","jci_2022","percent_oa_gold"
"SOCIAL WORK RESEARCH","1070-5309","1545-6838","SOCIAL WORK - SSCI","1,159","1.7","Q3","0.75","0.00"
"Journal of Applied Research in Higher Education","2050-7003","1758-1184","EDUCATION & EDUCATIONAL RESEARCH - ESCI","800","1.7","","0.74","1.69"
"MINIMALLY INVASIVE THERAPY & ALLIED TECHNOLOGIES","1364-5706","1365-2931","SURGERY - SCIE","1,388","1.7","Q3","0.74","5.43"
"OTOLARYNGOLOGIC CLINICS OF NORTH AMERICA","0030-6665","1557-8259","OTORHINOLARYNGOLOGY - SCIE","3,660","1.7","Q3","0.74","1.94"
"BRAIN & DEVELOPMENT","0387-7604","1872-7131","('CLINICAL NEUROLOGY - SCIE', 'PEDIATRICS - SCIE')","4,733","1.7","('Q4', 'Q3')","0.73","12.57"
"Child & Family Social Work","1356-7500","1365-2206","('FAMILY STUDIES - SSCI', 'SOCIAL WORK - SSCI')","2,493","1.7","('Q3', 'Q3')","0.73","24.84"
"COMMUNICATION QUARTERLY","0146-3373","1746-4102","COMMUNICATION - ESCI","1,304","1.7","","0.73","1.09"
"Journal of Media Psychology-Theories Methods and Applications","1864-1105","2151-2388","('COMMUNICATION - SSCI', 'PSYCHOLOGY, MULTIDISCIPLINARY - SSCI')","863","1.7","('Q3', 'Q3')","0.73","8.16"
"VETERINARY RADIOLOGY & ULTRASOUND","1058-8183","1740-8261","VETERINARY SCIENCES - SCIE","3,494","1.7","Q2","0.72","14.05"
"International Journal of Communication","1932-8036","1932-8036","COMMUNICATION - SSCI","4,831","1.7","Q3","0.71","0.00"
"ACCOUNTING AND BUSINESS RESEARCH","0001-4788","2159-4260","BUSINESS, FINANCE - SSCI","2,244","1.7","Q3","0.70","34.38"
"European Journal of Orthopaedic Surgery and Traumatology","1633-8065","1432-1068","('ORTHOPEDICS - ESCI', 'SURGERY - ESCI')","3,574","1.7","('N/A', 'N/A')","0.70","12.93"
"FINANCE AND STOCHASTICS","0949-2984","1432-1122","('BUSINESS, FINANCE - SSCI', 'MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE', 'SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI', 'STATISTICS & PROBABILITY - SCIE')","1,384","1.7","('Q3', 'Q3', 'Q3', 'Q2')","0.70","45.35"
"Journal of Policy and Practice in Intellectual Disabilities","1741-1122","1741-1130","('HEALTH POLICY & SERVICES - SSCI', 'REHABILITATION - SSCI')","977","1.7","('Q4', 'Q3')","0.70","25.86"
"JOURNAL OF VECTOR ECOLOGY","1081-1710","1948-7134","ENTOMOLOGY - SCIE","1,592","1.7","Q2","0.69","0.00"
"PEDIATRIC ANESTHESIA","1155-5645","1460-9592","('ANESTHESIOLOGY - SCIE', 'PEDIATRICS - SCIE')","5,997","1.7","('Q4', 'Q3')","0.69","11.21"
"AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY","0004-8666","1479-828X","OBSTETRICS & GYNECOLOGY - SCIE","3,659","1.7","Q4","0.68","11.06"
"Brock Education-A Journal of Educational Research and Practice","1183-1189","1183-1189","EDUCATION & EDUCATIONAL RESEARCH - ESCI","151","1.7","","0.68","0.00"
"Journal of PeriAnesthesia Nursing","1089-9472","1532-8473","('NURSING - SCIE', 'NURSING - SSCI')","1,315","1.7","('Q3', 'Q3')","0.68","3.59"
"REPRODUCTION IN DOMESTIC ANIMALS","0936-6768","1439-0531","('AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE', 'REPRODUCTIVE BIOLOGY - SCIE', 'VETERINARY SCIENCES - SCIE')","6,189","1.7","('Q3', 'Q4', 'Q2')","0.68","7.67"
"REVIEW OF WORLD ECONOMICS","1610-2878","1610-2886","('ECONOMICS - SSCI', 'INTERNATIONAL RELATIONS - SSCI')","1,274","1.7","('Q3', 'Q3')","0.68","31.50"
"Scandinavian Journal of Disability Research","1501-7419","1745-3011","REHABILITATION - ESCI","624","1.7","","0.68","97.85"
"Forest and Society","2549-4724","2549-4333","FORESTRY - ESCI","224","1.7","","0.67","100.00"
"JOURNAL OF ECONOMIC STUDIES","0144-3585","","ECONOMICS - ESCI","1,737","1.7","","0.67","4.85"
"CLINICS IN LABORATORY MEDICINE","0272-2712","1557-9832","MEDICAL LABORATORY TECHNOLOGY - SCIE","1,702","1.7","Q3","0.66","0.75"
"CULTURE MEDICINE AND PSYCHIATRY","0165-005X","1573-076X","('ANTHROPOLOGY - SSCI', 'PSYCHIATRY - SSCI', 'SOCIAL SCIENCES, BIOMEDICAL - SSCI')","1,515","1.7","('Q2', 'Q4', 'Q4')","0.66","30.61"
"Regional Science Policy and Practice","1757-7802","1757-7802","GEOGRAPHY - ESCI","693","1.7","","0.66","13.64"
"Migration Letters","1741-8984","1741-8992","DEMOGRAPHY - ESCI","498","1.7","","0.65","0.98"
"Seminars in Pediatric Surgery","1055-8586","1532-9453","('PEDIATRICS - SCIE', 'SURGERY - SCIE')","2,555","1.7","('Q3', 'Q3')","0.65","3.70"
"Acta Polytechnica Hungarica","1785-8860","1785-8860","ENGINEERING, MULTIDISCIPLINARY - SCIE","1,356","1.7","Q3","0.64","30.07"
"Couple and Family Psychology-Research and Practice","2160-4096","2160-410X","FAMILY STUDIES - ESCI","442","1.7","","0.64","0.00"
"JOURNAL OF FAMILY ISSUES","0192-513X","1552-5481","FAMILY STUDIES - SSCI","5,474","1.7","Q3","0.64","10.40"
"Leadership in Health Services","1751-1879","1751-1887","HEALTH POLICY & SERVICES - ESCI","702","1.7","","0.64","13.79"
"MATHEMATICS OF OPERATIONS RESEARCH","0364-765X","1526-5471","('MATHEMATICS, APPLIED - SCIE', 'OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE')","5,302","1.7","('Q2', 'Q4')","0.64","0.00"
"Tilburg Law Review-Journal of International and Comparative Law","2211-0046","2211-2596","LAW - ESCI","81","1.7","","0.64","100.00"
"Videosurgery and Other Miniinvasive Techniques","1895-4588","2299-0054","SURGERY - SCIE","802","1.7","Q3","0.64","99.59"
"International Journal of Sociology of Education","2014-3575","2014-3575","SOCIOLOGY - ESCI","113","1.7","","0.63","47.50"
"Seminars in Ophthalmology","0882-0538","1744-5205","OPHTHALMOLOGY - SCIE","2,074","1.7","Q4","0.63","4.63"
"EUROPEAN JOURNAL OF OPHTHALMOLOGY","1120-6721","1724-6016","OPHTHALMOLOGY - SCIE","5,235","1.7","Q4","0.62","3.22"
"Journal of Developmental Origins of Health and Disease","2040-1744","2040-1752","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,764","1.7","Q4","0.62","18.92"
"PLASMA SCIENCE & TECHNOLOGY","1009-0630","2058-6272","PHYSICS, FLUIDS & PLASMAS - SCIE","2,876","1.7","Q3","0.62","0.00"
"TRANSITION METAL CHEMISTRY","0340-4285","1572-901X","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","2,161","1.7","Q3","0.62","1.21"
"Communication Culture & Critique","1753-9129","1753-9137","COMMUNICATION - SSCI","622","1.7","Q3","0.61","11.40"
"JOURNAL OF PAEDIATRICS AND CHILD HEALTH","1034-4810","1440-1754","PEDIATRICS - SCIE","6,036","1.7","Q3","0.61","9.66"
"LIMNOLOGICA","0075-9511","1873-5851","LIMNOLOGY - SCIE","1,975","1.7","Q3","0.61","10.39"
"Review of Quantitative Finance and Accounting","0924-865X","1573-7179","BUSINESS, FINANCE - ESCI","1,999","1.7","","0.61","19.76"
"Sports Engineering","1369-7072","1460-2687","SPORT SCIENCES - ESCI","603","1.7","","0.61","55.07"
"ANAIS BRASILEIROS DE DERMATOLOGIA","0365-0596","1806-4841","DERMATOLOGY - SCIE","3,550","1.7","Q3","0.60","96.55"
"Annals of Actuarial Science","1748-4995","1748-5002","ECONOMICS - ESCI","281","1.7","","0.60","25.61"
"Central and Eastern European Migration Review","","2300-1682","DEMOGRAPHY - ESCI","190","1.7","","0.60","34.04"
"Communication & Society-Spain","2386-7876","2386-7876","COMMUNICATION - ESCI","594","1.7","","0.60","100.00"
"Environmental Economics and Policy Studies","1432-847X","1867-383X","ECONOMICS - ESCI","705","1.7","","0.60","21.90"
"ETHOLOGY","0179-1613","1439-0310","('BEHAVIORAL SCIENCES - SCIE', 'ZOOLOGY - SCIE')","4,596","1.7","('Q4', 'Q2')","0.60","19.87"
"GEOFLUIDS","1468-8115","1468-8123","('GEOCHEMISTRY & GEOPHYSICS - SCIE', 'GEOLOGY - SCIE')","5,111","1.7","('Q3', 'Q2')","0.60","99.48"
"International Journal of Lower Extremity Wounds","1534-7346","1552-6941","('DERMATOLOGY - SCIE', 'SURGERY - SCIE')","1,560","1.7","('Q3', 'Q3')","0.60","1.98"
"Studies in the Education of Adults-NIACE","0266-0830","1478-9833","EDUCATION & EDUCATIONAL RESEARCH - ESCI","346","1.7","","0.60","18.37"
"BRAIN BEHAVIOR AND EVOLUTION","0006-8977","1421-9743","('BEHAVIORAL SCIENCES - SCIE', 'NEUROSCIENCES - SCIE', 'ZOOLOGY - SCIE')","2,446","1.7","('Q4', 'Q4', 'Q2')","0.59","28.57"
"COMMUNITY DENTAL HEALTH","0265-539X","0265-539X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,422","1.7","Q4","0.59","0.00"
"International Review of Finance","1369-412X","1468-2443","BUSINESS, FINANCE - SSCI","798","1.7","Q3","0.59","6.55"
"JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS","0022-4707","1827-1928","SPORT SCIENCES - SCIE","5,192","1.7","Q4","0.59","0.00"
"Medical Science Educator","","2156-8650","EDUCATION, SCIENTIFIC DISCIPLINES - ESCI","1,419","1.7","","0.59","13.47"
"QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY","1747-0218","1747-0226","('PHYSIOLOGY - SCIE', 'PSYCHOLOGY - SCIE', 'PSYCHOLOGY, EXPERIMENTAL - SSCI')","6,809","1.7","('Q4', 'Q3', 'Q4')","0.59","22.05"
"Teaching Public Administration","0144-7394","2047-8720","EDUCATION & EDUCATIONAL RESEARCH - ESCI","256","1.7","","0.59","15.73"
"African Geographical Review","1937-6812","2163-2642","GEOGRAPHY - ESCI","406","1.7","","0.58","4.03"
"ANNALS OF HUMAN BIOLOGY","0301-4460","1464-5033","('ANTHROPOLOGY - SSCI', 'BIOLOGY - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI')","2,379","1.7","('Q2', 'Q3', 'Q4', 'Q4')","0.58","6.03"
"Attention Perception & Psychophysics","1943-3921","1943-393X","('PSYCHOLOGY - SCIE', 'PSYCHOLOGY, EXPERIMENTAL - SSCI')","5,419","1.7","('Q3', 'Q4')","0.58","33.55"
"IMA Journal of Management Mathematics","1471-678X","1471-6798","('MANAGEMENT - SSCI', 'MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE', 'OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE', 'SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI')","626","1.7","('Q4', 'Q3', 'Q4', 'Q3')","0.58","7.77"
"International Journal of Computational Methods","0219-8762","1793-6969","('ENGINEERING, MULTIDISCIPLINARY - SCIE', 'MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE')","1,666","1.7","('Q3', 'Q3')","0.58","1.23"
"International Journal of Managerial Finance","1743-9132","1758-6569","BUSINESS, FINANCE - ESCI","902","1.7","","0.58","0.00"
"Journal of Pediatric Oncology Nursing","1043-4542","1532-8457","('NURSING - SCIE', 'NURSING - SSCI', 'ONCOLOGY - SCIE')","1,427","1.7","('Q3', 'Q3', 'Q4')","0.58","2.53"
"JOURNAL OF SPINAL CORD MEDICINE","1079-0268","2045-7723","CLINICAL NEUROLOGY - SCIE","3,894","1.7","Q4","0.58","11.56"
"Physical Review Accelerators and Beams","","2469-9888","('PHYSICS, NUCLEAR - SCIE', 'PHYSICS, PARTICLES & FIELDS - SCIE')","2,229","1.7","('Q3', 'Q3')","0.58","97.80"
"Revista Paulista de Pediatria","0103-0582","1984-0462","PEDIATRICS - ESCI","1,223","1.7","","0.58","96.71"
"Iranian Journal of Science and Technology Transaction A-Science","1028-6276","2364-1819","MULTIDISCIPLINARY SCIENCES - SCIE","1,973","1.7","Q3","0.57","1.19"
"JOURNAL OF MATHEMATICAL CHEMISTRY","0259-9791","1572-8897","('CHEMISTRY, MULTIDISCIPLINARY - SCIE', 'MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE')","2,672","1.7","('Q3', 'Q3')","0.57","15.32"
"Sport Management Education Journal","1938-6974","2163-2367","EDUCATION & EDUCATIONAL RESEARCH - ESCI","226","1.7","","0.57","0.00"
"Applied Neuropsychology-Adult","2327-9095","2327-9109","('CLINICAL NEUROLOGY - SCIE', 'PSYCHOLOGY - SCIE')","1,540","1.7","('Q4', 'Q3')","0.56","5.50"
"Asian Pacific Journal of Tropical Biomedicine","2221-1691","2588-9222","TROPICAL MEDICINE - SCIE","4,874","1.7","Q3","0.56","95.08"
"Clinical Optometry","1179-2752","1179-2752","OPHTHALMOLOGY - ESCI","346","1.7","","0.56","96.51"
"Homeopathy","1475-4916","1476-4245","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","547","1.7","Q4","0.56","8.33"
"iForest-Biogeosciences and Forestry","1971-7458","1971-7458","FORESTRY - SCIE","1,664","1.7","Q3","0.56","88.83"
"International Journal of Aeronautical and Space Sciences","2093-274X","2093-2480","ENGINEERING, AEROSPACE - SCIE","1,003","1.7","Q3","0.56","3.38"
"JOURNAL OF EDUCATIONAL AND PSYCHOLOGICAL CONSULTATION","1047-4412","1532-768X","PSYCHOLOGY, EDUCATIONAL - SSCI","713","1.7","Q4","0.56","1.22"
"Marine and Coastal Fisheries","1942-5120","1942-5120","('FISHERIES - SCIE', 'MARINE & FRESHWATER BIOLOGY - SCIE')","958","1.7","('Q3', 'Q2')","0.56","86.67"
"PETROLEUM GEOSCIENCE","1354-0793","2041-496X","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","1,609","1.7","Q4","0.56","16.83"
"PSYCHIATRIC CLINICS OF NORTH AMERICA","0193-953X","1558-3147","PSYCHIATRY - SSCI","3,608","1.7","Q4","0.56","5.19"
"WEED RESEARCH","0043-1737","1365-3180","('AGRONOMY - SCIE', 'PLANT SCIENCES - SCIE')","3,111","1.7","('Q3', 'Q3')","0.56","14.18"
"ANZ JOURNAL OF SURGERY","1445-1433","1445-2197","SURGERY - SCIE","6,734","1.7","Q3","0.55","7.87"
"Journal of Patient-Centered Research and Reviews","2330-068X","2330-0698","HEALTH CARE SCIENCES & SERVICES - ESCI","297","1.7","","0.55","92.55"
"Anales de Psicologia","0212-9728","1695-2294","('PSYCHOLOGY - SCIE', 'PSYCHOLOGY, MULTIDISCIPLINARY - SSCI')","2,249","1.7","('Q3', 'Q3')","0.54","93.26"
"Animal Reproduction","1806-9614","1984-3143","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","1,118","1.7","Q3","0.54","90.91"
"Development Policy Review","0950-6764","1467-7679","DEVELOPMENT STUDIES - SSCI","1,706","1.7","Q3","0.54","28.10"
"INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS","0020-7144","1744-5183","('PSYCHIATRY - SSCI', 'PSYCHOLOGY, CLINICAL - SSCI')","1,113","1.7","('Q4', 'Q4')","0.54","7.06"
"JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT","0734-2829","1557-5144","PSYCHOLOGY, EDUCATIONAL - SSCI","2,947","1.7","Q4","0.54","9.01"
"Nordic Studies on Alcohol and Drugs","1455-0725","1458-6126","SUBSTANCE ABUSE - SSCI","545","1.7","Q4","0.54","93.80"
"SOCAR Proceedings","2218-6867","2218-8622","ENGINEERING, PETROLEUM - ESCI","477","1.7","","0.54","0.00"
"ENVIRONMETRICS","1180-4009","1099-095X","('ENVIRONMENTAL SCIENCES - SCIE', 'MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE', 'STATISTICS & PROBABILITY - SCIE')","2,204","1.7","('Q4', 'Q3', 'Q2')","0.53","19.62"
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","1,148","1.7","Q3","0.53","11.59"
"Journal of Sports Economics","1527-0025","1552-7794","('ECONOMICS - SSCI', 'HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI')","1,353","1.7","('Q3', 'Q4')","0.53","12.41"
"BIOMETRICAL JOURNAL","0323-3847","1521-4036","('MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE', 'STATISTICS & PROBABILITY - SCIE')","4,155","1.7","('Q3', 'Q2')","0.52","24.62"
"Chilean Journal of Agricultural Research","0718-5839","0718-5839","('AGRICULTURE, MULTIDISCIPLINARY - SCIE', 'AGRONOMY - SCIE')","1,695","1.7","('Q2', 'Q3')","0.52","97.96"
"INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING","0046-9580","1945-7243","('HEALTH CARE SCIENCES & SERVICES - SCIE', 'HEALTH POLICY & SERVICES - SSCI')","1,570","1.7","('Q4', 'Q4')","0.52","91.59"
"JMIR Research Protocols","1929-0748","1929-0748","('HEALTH CARE SCIENCES & SERVICES - ESCI', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI')","4,104","1.7","('N/A', 'N/A')","0.52","98.11"
"JOURNAL OF CUTANEOUS PATHOLOGY","0303-6987","1600-0560","('DERMATOLOGY - SCIE', 'PATHOLOGY - SCIE')","4,439","1.7","('Q3', 'Q3')","0.52","5.52"
"PLANT ECOLOGY","1385-0237","1573-5052","('ECOLOGY - SCIE', 'FORESTRY - SCIE', 'PLANT SCIENCES - SCIE')","6,319","1.7","('Q3', 'Q3', 'Q3')","0.52","14.58"
"SPECTROSCOPY LETTERS","0038-7010","1532-2289","SPECTROSCOPY - SCIE","1,545","1.7","Q3","0.52","0.00"
"Spirituality in Clinical Practice","2326-4500","2326-4519","PSYCHOLOGY, CLINICAL - ESCI","394","1.7","","0.52","0.00"
"AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV","0954-0121","1360-0451","('HEALTH POLICY & SERVICES - SSCI', 'PSYCHOLOGY, MULTIDISCIPLINARY - SSCI', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI', 'SOCIAL SCIENCES, BIOMEDICAL - SSCI')","7,072","1.7","('Q4', 'Q3', 'Q4', 'Q4')","0.51","8.95"
"Clinical Neurophysiology Practice","2467-981X","2467-981X","NEUROSCIENCES - ESCI","543","1.7","","0.51","99.12"
"Coupled Systems Mechanics","2234-2184","2234-2192","MECHANICS - ESCI","285","1.7","","0.51","0.00"
"IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION","0361-1434","1558-1500","COMMUNICATION - SSCI","926","1.7","Q3","0.51","3.61"
"TeMA-Journal of Land Use Mobility and Environment","1970-9889","1970-9870","URBAN STUDIES - ESCI","563","1.7","","0.51","0.00"
"International Journal of Sports Physical Therapy","2159-2896","2159-2896","SPORT SCIENCES - ESCI","2,722","1.7","","0.50","72.46"
"Journal of Ambient Intelligence and Smart Environments","1876-1364","1876-1372","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE', 'COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE', 'TELECOMMUNICATIONS - SCIE')","580","1.7","('Q4', 'Q4', 'Q4')","0.50","1.25"
"Journal of Berry Research","1878-5093","1878-5123","PLANT SCIENCES - SCIE","664","1.7","Q3","0.50","5.00"
"JOURNAL OF VASCULAR RESEARCH","1018-1172","1423-0135","('PERIPHERAL VASCULAR DISEASE - SCIE', 'PHYSIOLOGY - SCIE')","1,642","1.7","('Q4', 'Q4')","0.50","9.91"
"JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME","1048-9002","1528-8927","('ACOUSTICS - SCIE', 'ENGINEERING, MECHANICAL - SCIE', 'MECHANICS - SCIE')","4,413","1.7","('Q3', 'Q3', 'Q3')","0.50","0.72"
"Open Engineering","2391-5439","2391-5439","ENGINEERING, MULTIDISCIPLINARY - ESCI","1,053","1.7","","0.50","95.31"
"Phytochemistry Letters","1874-3900","1876-7486","('CHEMISTRY, MEDICINAL - SCIE', 'PLANT SCIENCES - SCIE')","3,979","1.7","('Q4', 'Q3')","0.50","3.89"
"POLAR BIOLOGY","0722-4060","1432-2056","('BIODIVERSITY CONSERVATION - SCIE', 'ECOLOGY - SCIE')","7,187","1.7","('Q2', 'Q3')","0.50","28.34"
"Theoretical Economics","1933-6837","1555-7561","ECONOMICS - SSCI","1,049","1.7","Q3","0.50","97.99"
"Acoustics Australia","0814-6039","1839-2571","ACOUSTICS - SCIE","489","1.7","Q3","0.49","6.42"
"DYNAMICS OF ATMOSPHERES AND OCEANS","0377-0265","1872-6879","('GEOCHEMISTRY & GEOPHYSICS - SCIE', 'METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE', 'OCEANOGRAPHY - SCIE')","1,360","1.7","('Q3', 'Q4', 'Q3')","0.49","21.95"
"Indian Dermatology Online Journal","2229-5178","2249-5673","DERMATOLOGY - ESCI","1,630","1.7","","0.49","98.40"
"Interactive Cardiovascular and Thoracic Surgery","1569-9293","1569-9285","('CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE', 'RESPIRATORY SYSTEM - SCIE', 'SURGERY - SCIE')","7,178","1.7","('Q4', 'Q4', 'Q3')","0.49","35.75"
"International Journal for Uncertainty Quantification","2152-5080","2152-5099","('ENGINEERING, MULTIDISCIPLINARY - SCIE', 'MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE')","562","1.7","('Q3', 'Q3')","0.49","0.00"
"INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING","1542-0973","1542-0981","('ENGINEERING, AEROSPACE - SCIE', 'TELECOMMUNICATIONS - SCIE')","664","1.7","('Q3', 'Q4')","0.49","10.45"
"JOURNAL OF COMPARATIVE FAMILY STUDIES","0047-2328","1929-9850","FAMILY STUDIES - SSCI","1,034","1.7","Q3","0.49","0.00"
"JOURNAL OF HUMANISTIC PSYCHOLOGY","0022-1678","1552-650X","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","1,518","1.7","Q3","0.49","8.65"
"Journal of Primary Prevention","0278-095X","1573-6547","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,546","1.7","Q4","0.49","8.11"
"African Journal of Disability","2223-9170","2226-7220","HEALTH CARE SCIENCES & SERVICES - ESCI","575","1.7","","0.48","93.14"
"Annals of Medicine and Surgery","2049-0801","2049-0801","MEDICINE, GENERAL & INTERNAL - ESCI","4,842","1.7","","0.48","94.28"
"Applied Neuropsychology-Child","2162-2965","2162-2973","('CLINICAL NEUROLOGY - SCIE', 'PSYCHOLOGY - SCIE')","723","1.7","('Q4', 'Q3')","0.48","4.50"
"EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE","1362-5187","1473-0782","('OBSTETRICS & GYNECOLOGY - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE')","1,564","1.7","('Q4', 'Q4')","0.48","20.18"
"JOURNAL OF TURBOMACHINERY-TRANSACTIONS OF THE ASME","0889-504X","1528-8900","ENGINEERING, MECHANICAL - SCIE","7,747","1.7","Q3","0.48","5.32"
"PHOTONIC NETWORK COMMUNICATIONS","1387-974X","1572-8188","('COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE', 'OPTICS - SCIE', 'TELECOMMUNICATIONS - SCIE')","820","1.7","('Q4', 'Q3', 'Q4')","0.48","1.60"
"Public Health Genomics","1662-4246","1662-8063","('GENETICS & HEREDITY - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI')","851","1.7","('Q4', 'Q4', 'Q4')","0.48","46.51"
"Revista Espanola de Educacion Comparada","1137-8654","2174-5382","EDUCATION & EDUCATIONAL RESEARCH - ESCI","283","1.7","","0.48","100.00"
"Cuadernos de Economia-Spain","0210-0266","2340-6704","ECONOMICS - ESCI","151","1.7","","0.47","26.74"
"IIMB Management Review","0970-3896","2212-4446","MANAGEMENT - ESCI","750","1.7","","0.47","93.10"
"NATIONAL TAX JOURNAL","0028-0283","1944-7477","('BUSINESS, FINANCE - SSCI', 'ECONOMICS - SSCI')","1,703","1.7","('Q3', 'Q3')","0.47","0.98"
"STEREOTACTIC AND FUNCTIONAL NEUROSURGERY","1011-6125","1423-0372","('NEUROIMAGING - SCIE', 'NEUROSCIENCES - SCIE', 'SURGERY - SCIE')","1,867","1.7","('Q4', 'Q4', 'Q3')","0.47","20.13"
"Acta Geographica Slovenica-Geografski Zbornik","1581-6613","1854-5106","GEOGRAPHY, PHYSICAL - SCIE","328","1.7","Q4","0.46","93.65"
"Anaesthesiology Intensive Therapy","1642-5758","1731-2531","ANESTHESIOLOGY - ESCI","844","1.7","","0.46","100.00"
"Food Webs","2352-2496","2352-2496","('BIODIVERSITY CONSERVATION - SCIE', 'ECOLOGY - SCIE')","519","1.7","('Q2', 'Q3')","0.46","22.22"
"International Journal of Civil Engineering","1735-0522","2383-3874","ENGINEERING, CIVIL - SCIE","1,999","1.7","Q3","0.46","4.09"
"International Journal of Housing Markets and Analysis","1753-8270","1753-8289","URBAN STUDIES - ESCI","806","1.7","","0.46","4.15"
"JOURNAL OF THE TEXTILE INSTITUTE","0040-5000","1754-2340","MATERIALS SCIENCE, TEXTILES - SCIE","4,892","1.7","Q2","0.46","1.70"
"PERCEPTION","0301-0066","1468-4233","('OPHTHALMOLOGY - SCIE', 'PSYCHOLOGY - SCIE', 'PSYCHOLOGY, EXPERIMENTAL - SSCI')","5,007","1.7","('Q4', 'Q3', 'Q4')","0.46","23.26"
"Techniques in Vascular and Interventional Radiology","1089-2516","1557-9808","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","1,078","1.7","","0.46","7.21"
"ACM Transactions on Storage","1553-3077","1553-3093","('COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE', 'COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE')","569","1.7","('Q4', 'Q3')","0.45","1.12"
"ANNALS OF REGIONAL SCIENCE","0570-1864","1432-0592","('ECONOMICS - SSCI', 'ENVIRONMENTAL STUDIES - SSCI', 'GEOGRAPHY - SSCI', 'REGIONAL & URBAN PLANNING - SSCI')","2,586","1.7","('Q3', 'Q4', 'Q4', 'Q4')","0.45","26.25"
"Asia-Pacific Financial Markets","1387-2834","1573-6946","ECONOMICS - ESCI","286","1.7","","0.45","8.26"
"Central European Journal of Operations Research","1435-246X","1613-9178","OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE","1,131","1.7","Q4","0.45","39.91"
"Cognitive Neuropsychiatry","1354-6805","1464-0619","('PSYCHIATRY - SCIE', 'PSYCHIATRY - SSCI')","1,110","1.7","('Q4', 'Q4')","0.45","21.43"
"ELECTROMAGNETIC BIOLOGY AND MEDICINE","1536-8378","1536-8386","('BIOLOGY - SCIE', 'BIOPHYSICS - SCIE')","998","1.7","('Q3', 'Q4')","0.45","6.15"
"European Journal of Hospital Pharmacy","2047-9956","2047-9964","PHARMACOLOGY & PHARMACY - SCIE","1,151","1.7","Q4","0.45","11.45"
