"journal_name","issn","e_issn","category","total_citations","impact_factor_2022","jif_quartile","jci_2022","percent_oa_gold"
"COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING","0045-7825","1879-2138","('ENGINEERING, MULTIDISCIPLINARY - SCIE', 'MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE', 'MECHANICS - SCIE')","47,448","7.2","('Q1', 'Q1', 'Q1')","2.11","27.65"
"Implementation Science","1748-5908","1748-5908","('HEALTH CARE SCIENCES & SERVICES - SCIE', 'HEALTH POLICY & SERVICES - SSCI')","17,539","7.2","('Q1', 'Q1')","2.08","100.00"
"OBSTETRICS AND GYNECOLOGY","0029-7844","0029-7844","OBSTETRICS & GYNECOLOGY - SCIE","38,486","7.2","Q1","2.04","12.66"
"Journal of Travel & Tourism Marketing","1054-8408","1540-7306","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","6,552","7.2","Q2","2.03","3.75"
"European Review of Social Psychology","1046-3283","1479-277X","PSYCHOLOGY, SOCIAL - SSCI","2,635","7.2","Q1","2.02","28.21"
"RESEARCH POLICY","0048-7333","1873-7625","MANAGEMENT - SSCI","33,851","7.2","Q1","1.98","32.44"
"PLANT JOURNAL","0960-7412","1365-313X","PLANT SCIENCES - SCIE","60,885","7.2","Q1","1.84","21.22"
"JOURNAL OF CLINICAL EPIDEMIOLOGY","0895-4356","1878-5921","('HEALTH CARE SCIENCES & SERVICES - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE')","43,090","7.2","('Q1', 'Q1')","1.82","38.08"
"Cellular and Molecular Gastroenterology and Hepatology","2352-345X","2352-345X","GASTROENTEROLOGY & HEPATOLOGY - SCIE","4,975","7.2","Q1","1.74","85.75"
"APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE","0269-994X","1464-0597","PSYCHOLOGY, APPLIED - SSCI","6,270","7.2","Q1","1.71","28.74"
"AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY","1064-7481","1545-7214","('GERIATRICS & GERONTOLOGY - SCIE', 'GERONTOLOGY - SSCI', 'PSYCHIATRY - SCIE', 'PSYCHIATRY - SSCI')","9,697","7.2","('Q1', 'Q1', 'Q1', 'Q1')","1.58","15.98"
"DIABETES & METABOLISM","1262-3636","1878-1780","ENDOCRINOLOGY & METABOLISM - SCIE","4,613","7.2","Q1","1.58","22.56"
"npj Regenerative Medicine","","2057-3995","('CELL & TISSUE ENGINEERING - SCIE', 'ENGINEERING, BIOMEDICAL - SCIE')","1,765","7.2","('Q1', 'Q1')","1.53","99.44"
"Journal of Family Business Strategy","1877-8585","1877-8593","('BUSINESS - SSCI', 'MANAGEMENT - SSCI')","2,263","7.2","('Q2', 'Q1')","1.50","20.00"
"JOURNAL OF CONSUMER RESEARCH","0093-5301","1537-5277","BUSINESS - SSCI","27,332","7.2","Q2","1.48","12.44"
"Environmental Innovation and Societal Transitions","2210-4224","2210-4232","('ENVIRONMENTAL SCIENCES - SCIE', 'ENVIRONMENTAL STUDIES - SSCI')","4,763","7.2","('Q1', 'Q1')","1.44","52.82"
"Earth Systems and Environment","2509-9426","2509-9434","('ENVIRONMENTAL SCIENCES - ESCI', 'GEOSCIENCES, MULTIDISCIPLINARY - ESCI', 'METEOROLOGY & ATMOSPHERIC SCIENCES - ESCI')","1,568","7.2","('N/A', 'N/A', 'N/A')","1.39","29.00"
"Cold Spring Harbor Perspectives in Biology","1943-0264","1943-0264","CELL BIOLOGY - SCIE","24,337","7.2","Q1","1.35","0.00"
"PHYTOTHERAPY RESEARCH","0951-418X","1099-1573","('CHEMISTRY, MEDICINAL - SCIE', 'PHARMACOLOGY & PHARMACY - SCIE')","23,427","7.2","('Q1', 'Q1')","1.27","3.85"
"OncoImmunology","2162-402X","2162-402X","('IMMUNOLOGY - SCIE', 'ONCOLOGY - SCIE')","16,708","7.2","('Q1', 'Q1')","1.24","100.00"
"CANADIAN JOURNAL OF CARDIOLOGY","0828-282X","1916-7075","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9,531","7.2","Q1","1.23","10.32"
"Journal of Global Health","2047-2978","2047-2986","('PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI')","5,054","7.2","('Q1', 'Q1')","1.06","90.04"
"INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","0360-3199","1879-3487","('CHEMISTRY, PHYSICAL - SCIE', 'ELECTROCHEMISTRY - SCIE', 'ENERGY & FUELS - SCIE')","159,161","7.2","('Q2', 'Q1', 'Q2')","1.03","6.17"
"APOPTOSIS","1360-8185","1573-675X","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'CELL BIOLOGY - SCIE')","7,038","7.2","('Q1', 'Q1')","0.87","20.98"
"JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS","1093-7404","1521-6950","('ENVIRONMENTAL SCIENCES - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE', 'TOXICOLOGY - SCIE')","2,313","7.2","('Q1', 'Q1', 'Q1')","0.84","26.67"
"Current Opinion in Environmental Sustainability","1877-3435","1877-3443","('ENVIRONMENTAL SCIENCES - SCIE', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE')","7,952","7.2","('Q1', 'Q2')","0.80","40.95"
"ImmunoTargets and Therapy","","2253-1556","IMMUNOLOGY - ESCI","805","7.2","","0.73","96.72"
"JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY","1018-9068","1698-0808","('ALLERGY - SCIE', 'IMMUNOLOGY - SCIE')","2,647","7.2","('Q1', 'Q1')","0.73","90.65"
"PROGRESS IN HUMAN GEOGRAPHY","0309-1325","1477-0288","GEOGRAPHY - SSCI","9,427","7.1","Q1","2.70","35.06"
"ULTRASOUND IN OBSTETRICS & GYNECOLOGY","0960-7692","1469-0705","('ACOUSTICS - SCIE', 'OBSTETRICS & GYNECOLOGY - SCIE', 'RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE')","17,581","7.1","('Q1', 'Q1', 'Q1')","2.24","17.61"
"Lancet Regional Health-Western Pacific","","2666-6065","('HEALTH CARE SCIENCES & SERVICES - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI')","1,819","7.1","('Q1', 'Q1', 'Q1')","1.93","86.01"
"CLIMATE POLICY","1469-3062","1752-7457","('ENVIRONMENTAL STUDIES - SSCI', 'PUBLIC ADMINISTRATION - SSCI')","4,855","7.1","('Q1', 'Q1')","1.76","37.65"
"MEDICAL EDUCATION","0308-0110","1365-2923","('EDUCATION, SCIENTIFIC DISCIPLINES - SCIE', 'HEALTH CARE SCIENCES & SERVICES - SCIE')","13,168","7.1","('Q1', 'Q1')","1.74","22.62"
"European Heart Journal-Cardiovascular Pharmacotherapy","2055-6837","2055-6845","('CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE', 'PHARMACOLOGY & PHARMACY - SCIE')","1,667","7.1","('Q1', 'Q1')","1.71","18.75"
"Acta Neuropathologica Communications","2051-5960","2051-5960","NEUROSCIENCES - SCIE","8,947","7.1","Q1","1.60","99.82"
"Journal of Ocean Engineering and Science","2468-0133","2468-0133","('ENGINEERING, MARINE - SCIE', 'ENGINEERING, OCEAN - SCIE')","1,644","7.1","('Q1', 'Q1')","1.60","97.48"
"AMERICAN JOURNAL OF CLINICAL NUTRITION","0002-9165","1938-3207","NUTRITION & DIETETICS - SCIE","60,841","7.1","Q1","1.54","80.75"
"MEAT SCIENCE","0309-1740","1873-4138","FOOD SCIENCE & TECHNOLOGY - SCIE","29,254","7.1","Q1","1.52","14.13"
"LAND USE POLICY","0264-8377","1873-5754","ENVIRONMENTAL STUDIES - SSCI","33,449","7.1","Q1","1.46","18.98"
"International Small Business Journal-Researching Entrepreneurship","0266-2426","1741-2870","('BUSINESS - SSCI', 'MANAGEMENT - SSCI')","5,069","7.1","('Q2', 'Q1')","1.27","35.56"
"Environmental Technology & Innovation","2352-1864","2352-1864","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE', 'ENGINEERING, ENVIRONMENTAL - SCIE', 'ENVIRONMENTAL SCIENCES - SCIE')","12,879","7.1","('Q1', 'Q2', 'Q1')","1.15","34.22"
"Journal of Intensive Care","2052-0492","2052-0492","CRITICAL CARE MEDICINE - SCIE","2,530","7.1","Q1","1.04","100.00"
"CSEE Journal of Power and Energy Systems","2096-0042","2096-0042","('ENERGY & FUELS - SCIE', 'ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE')","3,378","7.1","('Q2', 'Q1')","1.02","98.91"
"Advanced Sustainable Systems","2366-7486","2366-7486","('GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE')","3,518","7.1","('Q2', 'Q1')","0.91","17.66"
"ACS ES&T Engineering","","2690-0645","ENGINEERING, ENVIRONMENTAL - ESCI","1,510","7.1","","0.67","2.18"
"TRANSACTIONS OF TIANJIN UNIVERSITY","1006-4982","1995-8196","('ENERGY & FUELS - ESCI', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI')","1,045","7.1","('N/A', 'N/A')","0.66","56.06"
"Computer Assisted Language Learning","0958-8221","1744-3210","('EDUCATION & EDUCATIONAL RESEARCH - SSCI', 'LANGUAGE & LINGUISTICS - AHCI', 'LINGUISTICS - SSCI')","4,291","7.0","('Q1', 'N/A', 'Q1')","3.58","6.38"
"Policy Design and Practice","","2574-1292","PUBLIC ADMINISTRATION - ESCI","632","7.0","","2.46","93.33"
"Journal of Animal Science and Biotechnology","1674-9782","2049-1891","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","5,446","7.0","Q1","2.44","99.74"
"PSYCHOLOGICAL METHODS","1082-989X","1939-1463","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","19,422","7.0","Q1","2.44","0.41"
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","0963-8687","1873-1198","('COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE', 'INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI', 'MANAGEMENT - SSCI')","3,517","7.0","('Q1', 'Q1', 'Q1')","2.22","30.19"
"Radiology-Cardiothoracic Imaging","2638-6135","2638-6135","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","1,380","7.0","","2.08","0.45"
"POSTHARVEST BIOLOGY AND TECHNOLOGY","0925-5214","1873-2356","('AGRONOMY - SCIE', 'FOOD SCIENCE & TECHNOLOGY - SCIE', 'HORTICULTURE - SCIE')","21,271","7.0","('Q1', 'Q1', 'Q1')","2.07","10.10"
"Journal of Knowledge Management","1367-3270","1758-7484","('INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI', 'MANAGEMENT - SSCI')","9,844","7.0","('Q1', 'Q1')","1.97","7.99"
"Osteoarthritis and Cartilage","1063-4584","1522-9653","('ORTHOPEDICS - SCIE', 'RHEUMATOLOGY - SCIE')","21,655","7.0","('Q1', 'Q1')","1.97","73.87"
"Inorganic Chemistry Frontiers","2052-1553","2052-1553","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","14,977","7.0","Q1","1.96","4.45"
"ECONOMIC GEOGRAPHY","0013-0095","1944-8287","('ECONOMICS - SSCI', 'GEOGRAPHY - SSCI')","5,852","7.0","('Q1', 'Q1')","1.85","47.69"
"GENOME RESEARCH","1088-9051","1549-5469","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE', 'GENETICS & HEREDITY - SCIE')","47,141","7.0","('Q1', 'Q1', 'Q1')","1.79","98.97"
"IEEE Transactions on Transportation Electrification","2332-7782","2332-7782","('ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE', 'TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE')","7,125","7.0","('Q1', 'Q1')","1.60","4.86"
"MOLECULAR & CELLULAR PROTEOMICS","","1535-9484","BIOCHEMICAL RESEARCH METHODS - SCIE","18,795","7.0","Q1","1.58","99.51"
"ECOLOGICAL ECONOMICS","0921-8009","1873-6106","('ECOLOGY - SCIE', 'ECONOMICS - SSCI', 'ENVIRONMENTAL SCIENCES - SCIE', 'ENVIRONMENTAL STUDIES - SSCI')","36,381","7.0","('Q1', 'Q1', 'Q1', 'Q1')","1.57","34.99"
"INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER","0735-1933","1879-0178","('MECHANICS - SCIE', 'THERMODYNAMICS - SCIE')","22,495","7.0","('Q1', 'Q1')","1.57","2.75"
"INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS","0360-3016","1879-355X","('ONCOLOGY - SCIE', 'RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE')","46,275","7.0","('Q1', 'Q1')","1.57","16.54"
